date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:52	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://haminhquangaming.wixsite.com/robots.txt		(from )
19:54:52	840743/840743	---MCZ	200	added ('OK')	text/html	etag:W/%223cafce1cd168ec8dd86dd77dd977c66d%22	https://haminhquangaming.wixsite.com/mysite	F:/Anime%20Recap/Anime%20Recap/haminhquangaming.wixsite.com/mysite.html	(from )
19:54:53	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	F:/Anime%20Recap/Anime%20Recap/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://haminhquangaming.wixsite.com/mysite)
19:54:53	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	F:/Anime%20Recap/Anime%20Recap/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://haminhquangaming.wixsite.com/mysite)
19:54:53	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2031%20Oct%202024%2012:55:02%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	F:/Anime%20Recap/Anime%20Recap/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://haminhquangaming.wixsite.com/mysite)
19:54:54	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Oct%202024%2012:55:03%20GMT	https://haminhquangaming.wixsite.com/c	F:/Anime%20Recap/Anime%20Recap/haminhquangaming.wixsite.com/c.4.delayed	(from https://haminhquangaming.wixsite.com/mysite)
19:54:54	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Oct%202024%2012:55:03%20GMT	https://haminhquangaming.wixsite.com/t	F:/Anime%20Recap/Anime%20Recap/haminhquangaming.wixsite.com/t.5.delayed	(from https://haminhquangaming.wixsite.com/mysite)
19:54:55	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Oct%202024%2012:55:04%20GMT	https://haminhquangaming.wixsite.com/	F:/Anime%20Recap/Anime%20Recap/haminhquangaming.wixsite.com/index.html	(from https://haminhquangaming.wixsite.com/mysite)
19:54:55	7890/7890	---MCZ	200	added ('OK')	text/xml	date:Thu,%2031%20Oct%202024%2012:55:04%20GMT	https://haminhquangaming.wixsite.com/mysite/blog-feed.xml	F:/Anime%20Recap/Anime%20Recap/haminhquangaming.wixsite.com/mysite/blog-feed.xml	(from https://haminhquangaming.wixsite.com/mysite)
19:54:56	1360/1360	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Oct%202024%2017:47:25%20GMT	https://static.wixstatic.com/media/472571_eac7f3115a8c4c5d91bf0d5a6a589a4c~mv2.jpg/v1/fill/w_70,h_40,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/472571_eac7f3115a8c4c5d91bf0d5a6a589a4c~mv2.jpg	F:/Anime%20Recap/Anime%20Recap/static.wixstatic.com/media/472571_eac7f3115a8c4c5d91bf0d5a6a589a4c_mv2.jpg/v1/fill/w_70,h_40,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/472571_eac7f3115a8c4c5d91bf0d5a6a589a4c_mv2.jpg	(from https://haminhquangaming.wixsite.com/mysite)
19:54:56	2099/2099	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Oct%202024%2017:47:26%20GMT	https://static.wixstatic.com/media/472571_daa5236aa62a46b1b1a001a5b034d84a~mv2.jpg/v1/fill/w_70,h_99,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/472571_daa5236aa62a46b1b1a001a5b034d84a~mv2.jpg	F:/Anime%20Recap/Anime%20Recap/static.wixstatic.com/media/472571_daa5236aa62a46b1b1a001a5b034d84a_mv2.jpg/v1/fill/w_70,h_99,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/472571_daa5236aa62a46b1b1a001a5b034d84a_mv2.jpg	(from https://haminhquangaming.wixsite.com/mysite)
19:54:56	2456/2456	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Oct%202024%2017:47:26%20GMT	https://static.wixstatic.com/media/472571_93b082136c34492194e87e57449b7a93~mv2.jpg/v1/fill/w_70,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/472571_93b082136c34492194e87e57449b7a93~mv2.jpg	F:/Anime%20Recap/Anime%20Recap/static.wixstatic.com/media/472571_93b082136c34492194e87e57449b7a93_mv2.jpg/v1/fill/w_70,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/472571_93b082136c34492194e87e57449b7a93_mv2.jpg	(from https://haminhquangaming.wixsite.com/mysite)
19:54:56	2520/2520	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Oct%202024%2017:47:27%20GMT	https://static.wixstatic.com/media/472571_e58c6e3f22464cf39c8a6c87d77a4c50~mv2.jpg/v1/fill/w_70,h_99,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/472571_e58c6e3f22464cf39c8a6c87d77a4c50~mv2.jpg	F:/Anime%20Recap/Anime%20Recap/static.wixstatic.com/media/472571_e58c6e3f22464cf39c8a6c87d77a4c50_mv2.jpg/v1/fill/w_70,h_99,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/472571_e58c6e3f22464cf39c8a6c87d77a4c50_mv2.jpg	(from https://haminhquangaming.wixsite.com/mysite)
19:54:57	1841/1841	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Oct%202024%2017:47:27%20GMT	https://static.wixstatic.com/media/472571_4692307d0ded4f928d8451c63bc1cd9a~mv2.jpg/v1/fill/w_70,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/472571_4692307d0ded4f928d8451c63bc1cd9a~mv2.jpg	F:/Anime%20Recap/Anime%20Recap/static.wixstatic.com/media/472571_4692307d0ded4f928d8451c63bc1cd9a_mv2.jpg/v1/fill/w_70,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/472571_4692307d0ded4f928d8451c63bc1cd9a_mv2.jpg	(from https://haminhquangaming.wixsite.com/mysite)
19:54:58	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	F:/Anime%20Recap/Anime%20Recap/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://haminhquangaming.wixsite.com/mysite)
19:54:59	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Oct%202024%2012:55:08%20GMT	https://haminhquangaming.wixsite.com/sitemap.xml	F:/Anime%20Recap/Anime%20Recap/haminhquangaming.wixsite.com/sitemap.d.delayed	(from https://haminhquangaming.wixsite.com/mysite)
19:54:59	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Oct%202024%2012:55:08%20GMT	https://haminhquangaming.wixsite.com/feed.xml	F:/Anime%20Recap/Anime%20Recap/haminhquangaming.wixsite.com/feed.e.delayed	(from https://haminhquangaming.wixsite.com/mysite)
19:55:00	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Oct%202024%2012:55:08%20GMT	https://haminhquangaming.wixsite.com/${i.uri}	F:/Anime%20Recap/Anime%20Recap/haminhquangaming.wixsite.com/${i.f.delayed	(from https://haminhquangaming.wixsite.com/mysite)
19:55:00	134516/134516	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f8b0e894f0910ec96192ae7986f3f5d4%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.b70ee867.bundle.min.js	F:/Anime%20Recap/Anime%20Recap/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.b70ee867.bundle.min.js	(from https://haminhquangaming.wixsite.com/mysite)
19:55:00	257230/257230	---M-Z	200	added ('OK')	application/javascript	etag:W/%222cd803c77cc2a9d9787c6287a2e59d92%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.317ed945.bundle.min.js	F:/Anime%20Recap/Anime%20Recap/static.parastorage.com/services/wix-thunderbolt/dist/main.317ed945.bundle.min.js	(from https://haminhquangaming.wixsite.com/mysite)
19:55:00	166/166	---M--	200	added ('OK')	application/javascript	etag:%227276034de396f62e15b7cc118d61c360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	F:/Anime%20Recap/Anime%20Recap/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	(from https://haminhquangaming.wixsite.com/mysite)
19:55:00	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	F:/Anime%20Recap/Anime%20Recap/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://haminhquangaming.wixsite.com/mysite)
19:55:01	10751/10751	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	F:/Anime%20Recap/Anime%20Recap/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://haminhquangaming.wixsite.com/mysite)
19:55:01	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	F:/Anime%20Recap/Anime%20Recap/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://haminhquangaming.wixsite.com/mysite)
